CustomerID,Age,Gender,City,AnnualIncome_kINR,SpendingScore,PurchaseFrequency,WebsiteVisits
CUST0001,28.0,Female,Mumbai,286.0,33.0,3,5
CUST0002,46.0,Male,Pune,847.0,41.0,11,13
CUST0003,55.0,Female,Mumbai,1132.0,15.0,5,6
CUST0004,24.0,Male,Delhi,887.0,53.0,8,12
CUST0005,29.0,Male,Mumbai,1560.0,83.0,16,9
CUST0006,26.0,Male,Delhi,405.0,72.0,15,26
CUST0007,20.0,Male,Hyderabad,324.0,29.0,6,0
CUST0008,31.0,Female,Mumbai,788.0,52.0,13,14
CUST0009,28.0,Female,Delhi,398.0,12.0,3,6
CUST0010,43.0,Female,Bengaluru,866.0,44.0,13,15
CUST0011,18.0,Male,Pune,402.0,78.0,17,27
CUST0012,33.0,Male,Nashik,1153.0,53.0,14,11
CUST0013,40.0,Female,Pune,,56.0,20,12
CUST0014,25.0,Female,Nagpur,374.0,73.0,18,20
CUST0015,18.0,Female,Nashik,363.0,19.0,3,8
CUST0016,48.0,Female,Thane,1523.0,77.0,20,19
CUST0017,45.0,Male,Nagpur,872.0,42.0,13,18
CUST0018,19.0,Male,Nagpur,436.0,25.0,2,6
CUST0019,40.0,Male,Nashik,831.0,39.0,7,15
CUST0020,41.0,Female,Nagpur,1575.0,7.0,6,5
CUST0021,51.0,Female,Thane,1571.0,80.0,21,15
CUST0022,37.0,Female,Mumbai,1674.0,82.0,22,20
CUST0023,27.0,Female,Nagpur,436.0,46.0,10,25
CUST0024,54.0,Male,Mumbai,1282.0,21.0,7,4
CUST0025,27.0,Male,Nagpur,986.0,14.0,3,6
CUST0026,29.0,Female,Thane,,83.0,21,13
CUST0027,18.0,Male,Bengaluru,290.0,35.0,2,7
CUST0028,31.0,Female,Nagpur,400.0,67.0,15,24
CUST0029,20.0,Female,Bengaluru,327.0,19.0,3,7
CUST0030,38.0,Male,Delhi,836.0,53.0,9,14
CUST0031,38.0,Male,Pune,1066.0,61.0,8,18
CUST0032,43.0,Female,Hyderabad,1378.0,69.0,26,17
CUST0033,47.0,Female,Nagpur,1944.0,20.0,8,4
CUST0034,43.0,Female,Pune,1549.0,,14,22
CUST0035,49.0,Female,Hyderabad,1700.0,24.0,3,3
CUST0036,29.0,Female,Thane,473.0,79.0,17,23
CUST0037,30.0,Female,Hyderabad,699.0,43.0,9,21
CUST0038,50.0,Male,Bengaluru,1574.0,10.0,5,4
CUST0039,50.0,Male,Nagpur,1477.0,83.0,28,17
CUST0040,18.0,Female,Nagpur,257.0,79.0,16,28
CUST0041,41.0,Male,Bengaluru,1053.0,48.0,13,10
CUST0042,38.0,Male,Bengaluru,815.0,55.0,9,14
CUST0043,20.0,Male,Hyderabad,474.0,79.0,16,22
CUST0044,35.0,Female,Nashik,1378.0,33.0,4,7
CUST0045,51.0,Female,Mumbai,827.0,47.0,5,13
CUST0046,36.0,Male,Nashik,1312.0,84.0,21,20
CUST0047,26.0,Male,Nagpur,383.0,85.0,18,16
CUST0048,49.0,Female,Thane,1988.0,21.0,4,5
CUST0049,51.0,Female,Delhi,1442.0,20.0,6,2
CUST0050,18.0,Male,Thane,262.0,18.0,6,11
CUST0051,21.0,Female,Hyderabad,398.0,23.0,2,4
CUST0052,29.0,Female,Bengaluru,783.0,56.0,11,8
CUST0053,37.0,Female,Pune,1930.0,31.0,3,9
