CustomerID,Age,Gender,City,AnnualIncome_kINR,SpendingScore,PurchaseFrequency,WebsiteVisits,Cluster
CUST0001,28,Female,Mumbai,286,33,3,5,0
CUST0002,46,Male,Pune,847,41,11,13,4
CUST0003,55,Female,Mumbai,1132,15,5,6,2
CUST0004,24,Male,Delhi,887,53,8,12,4
CUST0005,29,Male,Mumbai,1560,83,16,9,3
CUST0006,26,Male,Delhi,405,72,15,26,1
CUST0007,20,Male,Hyderabad,324,29,6,0,0
CUST0008,31,Female,Mumbai,788,52,13,14,4
CUST0009,28,Female,Delhi,398,12,3,6,0
CUST0010,43,Female,Bengaluru,866,44,13,15,4
CUST0011,18,Male,Pune,402,78,17,27,1
CUST0012,33,Male,Nashik,1153,53,14,11,4
CUST0013,40,Female,Pune,821,56,20,12,4
CUST0014,25,Female,Nagpur,374,73,18,20,1
CUST0015,18,Female,Nashik,363,19,3,8,0
CUST0016,48,Female,Thane,1523,77,20,19,3
CUST0017,45,Male,Nagpur,872,42,13,18,4
CUST0018,19,Male,Nagpur,436,25,2,6,0
CUST0019,40,Male,Nashik,831,39,7,15,4
CUST0020,41,Female,Nagpur,1575,7,6,5,2
CUST0021,51,Female,Thane,1571,80,21,15,3
CUST0022,37,Female,Mumbai,1674,82,22,20,3
CUST0023,27,Female,Nagpur,436,46,10,25,1
CUST0024,54,Male,Mumbai,1282,21,7,4,2
CUST0025,27,Male,Nagpur,986,14,3,6,0
CUST0026,29,Female,Thane,821,83,21,13,1
CUST0027,18,Male,Bengaluru,290,35,2,7,0
CUST0028,31,Female,Nagpur,400,67,15,24,1
CUST0029,20,Female,Bengaluru,327,19,3,7,0
CUST0030,38,Male,Delhi,836,53,9,14,4
CUST0031,38,Male,Pune,1066,61,8,18,4
CUST0032,43,Female,Hyderabad,1378,69,26,17,3
CUST0033,47,Female,Nagpur,1944,20,8,4,2
CUST0034,43,Female,Pune,1549,50,14,22,3
CUST0035,49,Female,Hyderabad,1700,24,3,3,2
CUST0036,29,Female,Thane,473,79,17,23,1
CUST0037,30,Female,Hyderabad,699,43,9,21,4
CUST0038,50,Male,Bengaluru,1574,10,5,4,2
CUST0039,50,Male,Nagpur,1477,83,28,17,3
CUST0040,18,Female,Nagpur,257,79,16,28,1
CUST0041,41,Male,Bengaluru,1053,48,13,10,4
CUST0042,38,Male,Bengaluru,815,55,9,14,4
CUST0043,20,Male,Hyderabad,474,79,16,22,1
CUST0044,35,Female,Nashik,1378,33,4,7,2
CUST0045,51,Female,Mumbai,827,47,5,13,4
CUST0046,36,Male,Nashik,1312,84,21,20,3
CUST0047,26,Male,Nagpur,383,85,18,16,1
CUST0048,49,Female,Thane,1988,21,4,5,2
CUST0049,51,Female,Delhi,1442,20,6,2,2
CUST0050,18,Male,Thane,262,18,6,11,0
CUST0051,21,Female,Hyderabad,398,23,2,4,0
CUST0052,29,Female,Bengaluru,783,56,11,8,4
CUST0053,37,Female,Pune,1930,31,3,9,2
CUST0054,18,Male,Delhi,439,43,3,5,0
CUST0055,22,Female,Delhi,390,31,6,3,0
CUST0056,25,Male,Nagpur,339,85,17,13,1
CUST0057,30,Female,Thane,349,83,11,24,1
CUST0058,36,Female,Mumbai,1374,87,28,13,3
CUST0059,50,Male,Mumbai,1288,91,22,15,3
CUST0060,18,Male,Pune,407,26,2,4,0
CUST0061,29,Female,Mumbai,821,89,18,21,1
CUST0062,34,Male,Nagpur,1530,88,17,18,3
CUST0063,48,Female,Mumbai,1628,17,4,10,2
CUST0064,18,Female,Delhi,412,77,21,9,1
CUST0065,37,Female,Nagpur,1541,76,23,12,3
CUST0066,34,Male,Mumbai,692,52,14,14,4
CUST0067,32,Male,Nagpur,816,42,18,14,4
CUST0068,21,Male,Pune,424,28,4,1,0
CUST0069,20,Female,Hyderabad,321,32,3,5,0
CUST0070,18,Male,Nagpur,353,50,6,4,0
CUST0071,27,Female,Nagpur,406,31,6,6,0
CUST0072,22,Female,Bengaluru,358,27,7,9,0
CUST0073,28,Male,Hyderabad,1793,13,1,7,2
CUST0074,37,Female,Thane,2106,18,1,6,2
CUST0075,24,Female,Bengaluru,418,73,16,32,1
CUST0076,29,Male,Pune,1203,76,28,21,3
CUST0077,28,Female,Nagpur,454,85,19,24,1
CUST0078,45,Male,Delhi,996,60,15,15,4
CUST0079,44,Female,Nashik,1578,86,26,20,3
CUST0080,23,Male,Nagpur,368,37,4,6,0
CUST0081,19,Male,Nashik,738,57,9,14,4
CUST0082,27,Female,Nashik,1637,75,15,7,4
CUST0083,30,Female,Bengaluru,350,69,18,24,1
CUST0084,23,Female,Hyderabad,300,32,3,3,0
CUST0085,26,Female,Mumbai,366,97,16,16,1
CUST0086,35,Male,Mumbai,902,58,12,11,4
CUST0087,26,Female,Mumbai,395,69,16,19,1
CUST0088,27,Male,Nashik,362,19,5,5,0
CUST0089,38,Male,Nashik,1385,88,14,17,3
CUST0090,39,Female,Pune,1371,66,23,25,3
CUST0091,26,Male,Thane,330,74,22,17,1
CUST0092,37,Male,Pune,995,10,3,10,2
CUST0093,56,Male,Hyderabad,1603,2,2,6,2
CUST0094,43,Female,Mumbai,1566,13,6,8,2
